Region,Port of Singapore,Port Country,Comment (Singapore route),Port of Rotterdam,Comment (Rotterdam route)
South Africa,Durban,South Africa,Products terminal on Indian Ocean; shortest sea route to Asia,Durban,Products terminal; established Europe services
Taiwan,Kaohsiung,Taiwan,Major petroleum terminals and bunkering,Kaohsiung,Same; deep-sea routes to Europe
Singapore,None,Singapore,Land transport within Singapore,Singapore,Same; frequent ARA links
Norway,Mongstad,Norway,Primary crude export terminals on west coast,Mongstad,Same
Oman,Mina al Fahal,Oman,Main crude export terminal near Muscat,Mina al Fahal,Same
Italy,Trieste,Italy,Largest crude terminal; Suez route to Asia,Trieste,Feeds Central Europe; sea links to ARA
Finland,Porvoo,Finland,Refinery with tanker berths,Porvoo,Same
Portugal,Sines,Portugal,Deepwater crude/product/LNG terminal; shortest to Asia via Suez,Sines,Regular Europe coastal/Atlantic services
Greece,Elefsis,Greece,Refinery/terminal near Athens; Suez access,Elefsis,Same
France,Le Havre,France,Main crude import/export terminal,Le Havre,Same
Brazil,Santos,Brazil,Large products/crude exports; South Atlantic route to Asia,Santos,Same
United Kingdom,Milford Haven,United Kingdom,Crude & LNG terminal; direct deep-sea access,Milford Haven,Same; frequent North Sea/Atlantic product flows
Spain,Algeciras,Spain,Strategic bunkering/oil terminal at Gibraltar,Algeciras,Same
Sweden,Brofjorden,Sweden,Preem refinery crude terminal,Brofjorden,Same
Japan,Yokohama,Japan,Tokyo Bay refineries & tanker berths,Yokohama,Same
Belgium,Antwerp,Belgium,Massive petrochemical/oil hub with tanker terminals,None,Pipeline/barge within ARA; no seagoing leg needed
Poland,Gdańsk,Poland,Crude/product/LNG terminals; Baltic exit,Gdańsk,Sea route to ARA used for crude/products
India,Jamnagar,India,World’s largest refining complex; major exports,Jamnagar,Same
Indonesia,Balikpapan,Indonesia,Major refinery/terminal on Borneo,Balikpapan,Same
South Korea,Ulsan,South Korea,Large refinery & petrochemical port,Ulsan,Same
China,Ningbo,China,Major crude import hub,Ningbo,Same
United Arab Emirates,Fujairah,United Arab Emirates,Major export/bunkering hub outside Hormuz,Fujairah,Same
Turkey,Ceyhan,Turkey,BTC pipeline outlet; Mediterranean crude terminal,Ceyhan,Same
Australia,Dampier,Australia,LNG export hub; closest to Singapore,Dampier,Same (for LNG)
Malaysia,Port Dickson,Malaysia,Refinery/terminal on Strait of Malacca,Port Dickson,Same
Thailand,Map Ta Phut,Thailand,Petrochemical & refinery hub,Map Ta Phut,Same
Russia,Kozmino,Russia,Pacific crude export terminal (ESPO),Primorsk,Largest Baltic crude export port
Saudi Arabia,Ras Tanura,Saudi Arabia,World’s largest crude export terminal,Ras Tanura,Same
United States,Los Angeles,United States,Pacific-facing petroleum terminals; shortest sea distance to Asia,New York,Closest large US oil/products port to Europe by sea
Canada,Vancouver,Canada,Pacific-facing petroleum/product terminals; shortest route to Asia,Saint John,Canada’s main Atlantic crude export terminal
Mexico,Salina Cruz,Mexico,Pacific refinery/terminal; shortest route to Asia via Trans-Isthmus,Veracruz,Large Gulf/Atlantic petroleum port
Switzerland,Genoa,Italy,Nearest major tanker terminals via Italy,None,Pipeline/rail/barge to ARA
Hungary,Omišalj,Croatia,Adria pipeline outlet; closest seaport terminal,None,Pipeline/inland waterways
Austria,Trieste,Italy,TAL pipeline access; closest crude terminal,None,Pipelines dominate
Czech Republic,Trieste,Italy,Supply via TAL/IKL pipelines; exports via Trieste,None,Pipeline/barge to ARA
Germany,Wilhelmshaven,Germany,Primary crude import/export terminal on North Sea,None,ARA pipelines/Rhine barges; no seagoing leg to Rotterdam
Netherlands,Rotterdam,Netherlands,Exports depart directly from Rotterdam terminals,None,Domestic hub—moved by pipeline/barge/truck
