Stage,Input,Value,Units,Source
Recovery,NG Consumption,46405,Btu/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Recovery"
Recovery,Water Consumption,0.136,gal/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Recovery"
Recovery,CH4 Emissions,93.849,g/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Recovery"
Recovery,CO2 Emissions,2569,g/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Recovery"
Processing,NG Consumption,31997,Btu/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Processing"
Processing,Water Consumption,1.929,gal/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Processing"
Processing,CH4 Emissions,5.705,g/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Processing"
Processing,CO2 Emissions,1963,g/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas as Feedstock to Produce Transportation Fuels: NA NG Processing"
Liquefaction,NG Consumption,100684,Btu/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas to Liquefied Natural Gas: NG Liquefaction: As a Transportation Fuel"
Liquefaction,Water Consumption,0.611,gal/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas to Liquefied Natural Gas: NG Liquefaction: As a Transportation Fuel"
Liquefaction,CH4 Emissions,21.803,g/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas to Liquefied Natural Gas: NG Liquefaction: As a Transportation Fuel"
Liquefaction,CO2 Emissions,6057,g/mmBtu,"GREET 2024; NG sheet; Section 3 (Calculations of Energy Consumption, Water Consumption, and Emissions for Each Stage); Natural Gas to Liquefied Natural Gas: NG Liquefaction: As a Transportation Fuel"
